state,year,month,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Tennessee,2024,3,8906,75.69054569952841,13.873961374354367
Tennessee,2024,4,9727,81.39200164490593,12.545029299886913
Tennessee,2024,5,9100,94.47252747252747,9.489450549450549
Tennessee,2024,6,11156,94.83685908927932,9.145392613840086
Tennessee,2024,7,10763,94.41605500325188,9.930038093468363
Tennessee,2024,8,8437,93.68258859784284,9.849354035794713
Tennessee,2024,9,8940,95.16778523489933,9.24854586129754
Tennessee,2024,10,9721,97.1402119123547,8.611511161403147
Tennessee,2024,11,7261,96.06114860212091,8.853257127117477
Tennessee,2024,12,9165,96.62847790507365,8.680250954719039
Tennessee,2025,1,13767,95.33667465678796,9.163979080409675
Tennessee,2025,2,11172,96.12423916935195,8.88703902613677
Tennessee,2025,3,9932,96.80829641562626,8.659283125251712
Tennessee,2025,4,9395,97.91378392762108,8.2654071314529
Tennessee,2025,5,8068,97.32275656916212,8.598041646008925
Tennessee,2025,6,13425,96.02979515828677,9.255530726256984
Tennessee,2025,7,12293,95.18425119986983,9.283982754413081
Tennessee,2025,8,8796,95.70259208731241,9.203331059572532
Tennessee,2025,9,10411,96.839880895207,8.790077802324465
Tennessee,2025,10,12765,98.09635722679201,8.057657657657657
Tennessee,2025,11,9084,96.8405988551299,8.33272787318362
Tennessee,2025,12,9712,97.44645799011532,8.410368616144975
Tennessee,2026,1,15499,96.3804116394606,8.702496935286147
Tennessee,2026,2,9634,95.54702096740711,9.431752127880424
Tennessee,2026,3,9786,95.90230942162272,9.461322297159207
Tennessee,2026,4,8189,96.29991451947734,9.049883990719257
Tennessee,2026,5,8442,96.75432361999526,8.978914949064203
Tennessee,2026,6,12009,94.57906570072446,9.60525439253893
Tennessee,2026,7,11864,93.45077545515846,9.807063385030343
Tennessee,2026,8,9451,96.29668818114484,9.0682996508306
Texas,2020,1,66363,93.2658258366861,10.20112864095957
Texas,2020,2,51776,94.26375154511743,10.177273254017305
Texas,2020,3,118579,96.9269432192884,8.735340996297827
Texas,2020,4,1327811,91.94350702020093,10.033359792922337
Texas,2020,5,884370,84.04310413062406,12.919211981410495
Texas,2020,6,412019,85.37737337355802,13.29107880947238
Texas,2020,7,303386,87.21529668475144,12.256671369146895
Texas,2020,8,202852,80.62380454715753,14.510566817186914
Texas,2020,9,174701,80.10200285058471,14.56343695800253
Texas,2020,10,113165,90.07290239915167,11.455083285468122
Texas,2020,11,83131,90.03019330935511,11.044688503686952
Texas,2020,12,80928,88.29082641360222,11.284116745749309
Texas,2021,1,92713,87.82263544486749,11.28959800675202
Texas,2021,2,84249,87.21646547733505,11.829861482035396
Texas,2021,3,82138,83.99887993377,12.88969173829409
Texas,2021,4,68354,84.606606782339,12.490636978084677
Texas,2021,5,68365,83.42572953996928,13.066437504571052
Texas,2021,6,64559,77.477965891665,13.74709180749392
Texas,2021,7,74068,83.4071393854296,12.462730193875897
Texas,2021,8,62502,80.32222968864995,13.312581997376084
Texas,2021,9,44222,81.36900185428068,13.623547103251775
Texas,2021,10,45362,83.48176888144262,12.97097791102685
Texas,2021,11,48011,85.58247068380163,12.499000229114161
Texas,2021,12,45766,89.88987457938208,11.17141546125945
Texas,2022,1,49366,90.45091763561966,10.960489000526678
Texas,2022,2,37538,87.31152432202035,11.643228195428632
Texas,2022,3,41701,85.94278314668713,12.09996163161555
Texas,2022,4,38158,88.71534147492007,11.195896011321349
Texas,2022,5,39721,87.32660305631782,11.460512071700109
Texas,2022,6,52027,88.45407192419322,11.320535491187268
Texas,2022,7,47139,90.58741169732069,10.886940749697702
Texas,2022,8,48097,87.27363453022018,11.632357527496518
Texas,2022,9,41444,85.23308560949715,12.095092172570215
Texas,2022,10,39960,85.44044044044044,12.253103103103102
Texas,2022,11,44846,84.5604959193685,12.42068411898497
Texas,2022,12,53568,86.79622162485066,12.043589456391876
Texas,2023,1,62588,87.68613791781172,11.77668243113696
Texas,2023,2,51123,88.50419576315944,11.411351055298006
Texas,2023,3,52931,88.11849388826964,11.529510116944701
Texas,2023,4,49830,89.4099939795304,11.273901264298615
Texas,2023,5,58236,87.96105501751495,11.5148190122948
Texas,2023,6,63808,87.98113089267804,11.47192358324975
Texas,2023,7,58521,86.16564993762923,11.996103962680063
Texas,2023,8,59602,85.24546156169257,12.144844132747224
Texas,2023,9,49112,82.86976706303957,12.840833197589184
Texas,2023,10,52009,85.17564267722895,12.290353592647426
Texas,2023,11,53868,84.62909333927378,12.296400460384644
Texas,2023,12,51398,85.4702517607689,12.068971555313436
Texas,2024,1,62730,85.61932089909135,11.9436952016579
Texas,2024,2,54547,87.78667937741764,11.375868517058683
Texas,2024,3,52730,85.98331120804097,11.734572349706049
Texas,2024,4,57104,86.30218548613057,11.74318786775007
Texas,2024,5,60308,87.4212376467467,11.424819261126219
Texas,2024,6,60153,87.71798580286935,11.488171828503981
Texas,2024,7,64484,85.78717201166181,12.147253582283977
Texas,2024,8,63515,83.26851924742186,12.367456506337085
Texas,2024,9,48103,84.5934764983473,12.625688626488992
Texas,2024,10,54419,84.99788676748929,12.415773902497289
Texas,2024,11,49683,84.37292434031761,12.525551999677958
Texas,2024,12,62794,84.78994808421186,12.109477020097462
Texas,2025,1,65339,84.65388206124979,12.124787645969482
Texas,2025,2,56793,87.50022009754723,11.516542531650027
Texas,2025,3,68893,91.83951925449611,10.614329467435008
Texas,2025,4,64118,92.48416981190928,10.448735144577185
Texas,2025,5,59054,92.58305957259458,10.448885765570495
Texas,2025,6,68832,90.13394932589493,10.891409518828452
Texas,2025,7,66091,86.56246690169614,11.622384288329727
Texas,2025,8,61365,84.96048235965127,12.163040821315082
Texas,2025,9,59637,85.8259134429968,12.134522192598554
Texas,2025,10,62406,88.3697080408935,11.501289940069865
Texas,2025,11,50525,89.41316180108856,11.090064324591786
Texas,2025,12,64630,89.0221259477023,11.092085718706484
Texas,2026,1,59226,90.31506432985513,10.738054232938236
Texas,2026,2,52789,88.43319630983729,11.174752315823373
